name,tag1,tag2,tag3
behavior_2219,food,,
behavior_2220,dish,clean,
behavior_2221,meditate,,
behavior_2222,report,school,
behavior_2223,clean,,
behavior_2224,,,
behavior_2225,heart,,
behavior_2226,first,,
behavior_2227,first,,
behavior_2228,,,
behavior_2229,,,
behavior_2230,hug,,
behavior_2231,,,
behavior_2232,homework,school,
behavior_2233,bus,school,
behavior_2234,doctor,,
behavior_2235,text,talk,speech
behavior_2236,clean,dish,
behavior_2237,check,,
behavior_2238,mask,sad,
behavior_2239,award,,
behavior_2240,mask,,
behavior_2241,wrench,tool,
behavior_2242,gear,,
behavior_2243,clock,time,
behavior_2244,,,
behavior_2245,,,
behavior_2246,book,read,
behavior_2247,book,read,
behavior_2248,heart,,
behavior_2249,homework,school,
behavior_2250,,,
behavior_2251,,,
behavior_2252,badge,sheriff,
behavior_2253,heart,,
behavior_2254,,,
behavior_2255,,,
behavior_2257,calm,,
behavior_2258,task,,
behavior_2259,help,,
behavior_2260,help,,
behavior_2261,,,
behavior_2262,clock,watch,time
emotions__anger_2,,,
emotions__anger_3,,,
emotions__anger1,,,
yelling_face_1,,,