name,tag1,tag2,tag3
apple1,fruit,apple,
asset_113,table,dinner,
asset_12,table,dinner,
asset_37,watermelon,banana,fruit
asset_44,grocery,food,Shopping
asset_82,vegetable,food,
bread1,bread,loaf,
breakfast1,eggs,breakfast,cook
cake2,birthday,cake,
cook1,chef,hat,
dinner1,turkey,chicken,
drink4,coffee,tea,mug
eat1,fork,knife,
eat6,spoon,,
eat7,plate,dinner,lunch
eat9,plate,dinner,lunch
fruit1,banana,,
fruit3,watermelon,,
happymeal1,burger,meal,
hotdog1,hotdog,,
icecream1,dessert,treat,sweet
icecream4,dessert,treat,sweet
icecream5,dessert,treat,sweet
icecream6,dessert,treat,sweet
pizza1,pizza,slice,
sandwich1,sandwich,lunch,
snack2,cupcake,,
snack4,french fry,fries,
vegetable1,radish,turnip,veggie
vegetable2,broccoli,veggie,
drink1,mug,coffee,
snack3,donut ,,
luchbox_3,,,
luchbox_1,,,
luchbox_2,,,
hot_steaming_cup_1,,,
hot_steaming_cup_2,,,
glass_of_milk_1,,,
glass_of_milk_2,,,
donut_2,,,
donut_1,,,